 QUESTION     FORCE
      Q36 1.3403791
      Q25 1.2322896
      Q37 1.1609102
      Q39 1.1446845
      Q34 1.1302066
      Q21 1.1037074
      Q27 1.0985248
      Q18 1.0815951
      Q26 1.0745564
      Q28 1.0633135
      Q16 1.0413635
      Q38 1.0196618
      Q33 1.0007673
      Q24 0.9822617
      Q17 0.9800570
      Q20 0.9770019
      Q40 0.9731677
      Q19 0.9587590
      Q35 0.9519738
      Q13 0.8908362
      Q30 0.8782173
      Q42 0.8706018
      Q31 0.8562440
      Q32 0.7961294
      Q11 0.7861303
      Q29 0.7700276
      Q14 0.7453714
      Q22 0.7146463
       Q8 0.7087174
      Q10 0.7003331
       Q3 0.6224637
       Q1 0.6099762
       Q6 0.4928397
      Q12 0.4699916
       Q9 0.4293309
       Q5 0.3996120
       Q2 0.3710884
