 QUESTION      FORCE
      Q21  1.2948302
      Q17  1.1691581
      Q24  1.1682920
      Q38  1.1655153
      Q35  1.1619538
      Q34  1.1396919
      Q27  1.1255700
      Q39  1.1124174
      Q40  1.0994935
      Q26  1.0881076
      Q33  1.0722393
      Q37  1.0670761
      Q30  1.0546198
      Q16  1.0237458
      Q22  1.0196302
      Q18  1.0053333
       Q6  0.9972129
      Q13  0.9572743
      Q28  0.9220658
      Q11  0.9178149
      Q31  0.8501127
      Q29  0.8456404
      Q32  0.8368548
      Q42  0.7977910
       Q8  0.7708977
      Q20  0.7549826
      Q14  0.7271598
       Q3  0.6986605
      Q10  0.6320291
       Q9  0.5733745
      Q12  0.5338081
       Q5  0.5065549
       Q1  0.2559067
       Q2 -0.0197234
