 QUESTION     FORCE
      Q39 1.4825929
      Q36 1.4074822
      Q34 1.3086821
      Q28 1.1828727
      Q24 1.1182492
      Q21 1.1011433
      Q33 1.0836475
      Q20 1.0742201
      Q26 1.0660892
      Q42 1.0645745
      Q37 1.0449738
      Q38 1.0440392
      Q40 0.9570158
      Q30 0.9239182
      Q17 0.9145880
      Q35 0.9121437
      Q25 0.9110439
      Q13 0.9085510
      Q16 0.8957034
      Q31 0.8652263
      Q27 0.8415621
      Q29 0.8080682
      Q32 0.7928546
      Q22 0.7735781
      Q11 0.7669658
      Q10 0.6601055
      Q19 0.6410559
      Q18 0.6390331
       Q3 0.5481613
      Q14 0.5286789
       Q5 0.5111856
       Q6 0.5018336
       Q8 0.4763299
       Q9 0.4707364
      Q12 0.4024551
       Q2 0.3312238
       Q1 0.3046875
