 QUESTION     FORCE
      Q36 1.5301880
      Q39 1.4267931
      Q34 1.1997526
      Q21 1.1613387
      Q35 1.1477162
      Q25 1.1252629
      Q33 1.0949055
      Q37 1.0920010
      Q26 1.0870282
      Q42 1.0397812
      Q16 1.0370608
      Q24 1.0307962
      Q38 1.0293396
      Q27 1.0021811
      Q31 1.0006661
      Q18 0.9929179
      Q13 0.9911488
      Q40 0.9839573
      Q28 0.9390557
      Q17 0.9356042
      Q30 0.9184035
      Q32 0.9006087
      Q20 0.8989573
      Q11 0.8933155
      Q22 0.8517415
      Q29 0.8034514
      Q10 0.6635625
       Q8 0.6277300
       Q6 0.6194826
      Q14 0.6018545
      Q12 0.5950780
       Q3 0.5734630
      Q19 0.5352235
       Q9 0.5244371
       Q1 0.5073839
       Q5 0.4789476
       Q2 0.2570609
