 QUESTION     FORCE
      Q36 1.3892457
      Q27 1.2869502
      Q30 1.2404017
      Q21 1.1854171
      Q34 1.1283800
      Q25 1.1275436
      Q18 1.1267610
      Q35 1.1175747
      Q16 1.0719591
      Q31 1.0422268
      Q26 1.0415945
      Q37 1.0386232
      Q40 1.0244194
      Q39 1.0168037
      Q24 0.9914569
      Q38 0.9603700
      Q13 0.9596756
      Q33 0.9313882
      Q28 0.8825290
      Q17 0.8626191
      Q20 0.8464730
      Q42 0.8158972
      Q32 0.7552126
      Q11 0.7447907
       Q1 0.7010754
      Q10 0.6919222
      Q22 0.6235923
      Q29 0.6151103
       Q5 0.5811392
       Q8 0.5666758
       Q3 0.5592023
       Q9 0.4938320
       Q6 0.4685377
      Q14 0.4425743
      Q12 0.4164389
       Q2 0.4161232
      Q19 0.3386618
