 QUESTION      FORCE
      Q34 1.37205628
      Q17 1.30607317
      Q39 1.23927074
      Q30 1.21651533
      Q24 1.17699771
      Q27 1.15775165
      Q21 1.14342396
      Q37 1.12281957
      Q22 1.07076291
      Q35 1.06907815
      Q26 1.05394471
      Q33 1.05295370
      Q32 1.03525375
      Q13 1.02467354
      Q11 1.00477674
      Q16 0.97873175
      Q18 0.93939615
      Q38 0.92499468
      Q14 0.90925910
      Q28 0.90699323
      Q40 0.90449594
      Q42 0.88846821
      Q31 0.86510891
       Q6 0.81444841
      Q29 0.74804335
       Q9 0.65705203
      Q12 0.54640877
       Q8 0.54550440
       Q5 0.47101622
      Q10 0.45124732
       Q1 0.31064026
       Q3 0.24143857
       Q2 0.05279401
