 QUESTION     FORCE
       Q7 1.5178523
      Q15 1.4386020
       Q4 1.3615680
      Q33 1.2179356
      Q21 1.2168119
      Q37 1.1545624
      Q27 1.1298459
      Q13 1.1274354
      Q16 1.1272371
      Q34 1.1081701
      Q35 1.1039560
      Q38 1.0623279
      Q24 1.0477600
      Q20 1.0420687
      Q22 1.0404338
      Q42 1.0288702
      Q40 1.0059926
      Q32 0.9894752
      Q36 0.9739053
      Q31 0.9403697
      Q19 0.9368817
      Q26 0.9317693
      Q23 0.9108742
      Q28 0.8943170
      Q11 0.8756939
      Q30 0.8664214
      Q39 0.8628152
      Q17 0.8091470
      Q18 0.7899558
      Q25 0.7798973
      Q29 0.7190420
      Q10 0.6977172
       Q8 0.6939785
      Q41 0.6733646
       Q3 0.6479760
      Q14 0.5701734
       Q9 0.5306222
       Q5 0.5287514
       Q1 0.5145123
      Q12 0.4349610
       Q6 0.3648711
       Q2 0.2388970
