 QUESTION     FORCE
      Q39 1.7542976
      Q36 1.6580445
      Q34 1.3720356
      Q28 1.2518043
      Q20 1.1740528
      Q21 1.1228867
      Q42 1.1201942
      Q26 1.1084469
      Q24 1.0924318
      Q33 1.0767865
      Q38 1.0104457
      Q37 1.0023489
      Q35 0.9289698
      Q40 0.9233169
      Q17 0.9205276
      Q25 0.9034623
      Q13 0.8982467
      Q16 0.8903879
      Q31 0.8844853
      Q30 0.8705160
      Q27 0.8548168
      Q22 0.8160598
      Q29 0.7984051
      Q32 0.7910484
      Q10 0.6837340
      Q11 0.6769354
      Q19 0.6645112
      Q18 0.5820618
       Q3 0.5705393
      Q14 0.5501985
       Q5 0.5214125
       Q6 0.5196200
       Q8 0.5051574
      Q12 0.5012657
       Q9 0.4383809
       Q2 0.3111912
       Q1 0.1852358
