 QUESTION     FORCE
      Q36 1.3038856
      Q37 1.2137981
      Q39 1.2110492
      Q27 1.1988778
      Q18 1.1824178
      Q33 1.1403039
      Q34 1.1255118
      Q26 1.0942837
      Q35 1.0853518
      Q16 1.0817665
      Q40 1.0763655
      Q38 1.0623598
      Q21 1.0603467
      Q22 1.0464885
      Q28 1.0303878
      Q24 1.0298661
      Q25 1.0292832
      Q13 0.9870617
      Q30 0.9644178
      Q17 0.9269024
      Q19 0.9220886
      Q31 0.8805290
      Q11 0.8647843
      Q32 0.8584364
      Q20 0.8502910
      Q29 0.8392020
      Q14 0.7747841
       Q3 0.7282699
      Q42 0.6987419
       Q9 0.6243221
      Q10 0.5841612
       Q6 0.5600186
       Q8 0.5336947
      Q12 0.5282033
       Q1 0.3641947
       Q5 0.3515544
       Q2 0.2417308
