 QUESTION     FORCE
      Q41 1.4300296
      Q36 1.3349378
      Q27 1.1746215
      Q34 1.1693681
      Q39 1.1639319
      Q38 1.1405693
      Q33 1.1365748
      Q21 1.1055121
      Q26 1.0941984
      Q16 1.0862020
      Q35 1.0593752
      Q37 1.0567203
      Q30 1.0543362
      Q28 1.0327702
      Q24 1.0267428
      Q13 1.0018044
      Q32 0.9886012
      Q17 0.9884496
      Q40 0.9760886
      Q22 0.9438234
      Q42 0.9274869
      Q31 0.9229947
      Q18 0.9086244
      Q20 0.9036562
      Q11 0.8853025
      Q25 0.8763969
      Q29 0.8448920
      Q19 0.7731645
      Q10 0.7574093
       Q8 0.7226882
      Q14 0.6755646
       Q6 0.6260963
       Q3 0.6239261
       Q9 0.5776504
       Q5 0.5521231
      Q12 0.5366148
       Q1 0.5231304
       Q2 0.2551735
