 QUESTION     FORCE
      Q36 2.2532720
      Q25 1.2213067
      Q39 1.2127939
      Q34 1.1812541
      Q27 1.1499446
      Q21 1.1316409
      Q37 1.1059301
      Q35 1.0901015
      Q28 1.0572215
      Q18 1.0459501
      Q26 1.0403985
      Q16 1.0394912
      Q24 1.0151047
      Q38 0.9850242
      Q40 0.9570352
      Q33 0.9484558
      Q13 0.9337684
      Q32 0.9188501
      Q42 0.9060331
       Q8 0.8825728
      Q19 0.8747839
      Q31 0.8722734
      Q17 0.8599292
      Q20 0.8267007
      Q30 0.8105562
      Q29 0.7704487
      Q11 0.7481545
      Q22 0.7362077
      Q14 0.7027474
      Q10 0.5938635
      Q12 0.4907680
       Q5 0.4343737
       Q9 0.4132623
       Q3 0.4059331
       Q6 0.4047205
       Q2 0.3985398
       Q1 0.2722493
