 QUESTION     FORCE
      Q36 1.4859256
      Q39 1.4510390
      Q34 1.1925246
      Q21 1.1628117
      Q25 1.1291030
      Q33 1.1006021
      Q37 1.0967113
      Q35 1.0919866
      Q26 1.0770115
      Q42 1.0568052
      Q16 1.0432789
      Q24 1.0360995
      Q38 1.0309701
      Q27 1.0152708
      Q18 1.0060902
      Q31 1.0037149
      Q40 0.9857957
      Q13 0.9840278
      Q28 0.9578432
      Q17 0.9467875
      Q30 0.9400286
      Q20 0.9230400
      Q11 0.8950669
      Q32 0.8733439
      Q22 0.8529381
      Q29 0.8065459
      Q10 0.6663964
       Q8 0.6329485
       Q6 0.6214854
      Q14 0.6066871
      Q12 0.5960460
       Q3 0.5785516
      Q19 0.5385841
       Q9 0.5312334
       Q1 0.5103799
       Q5 0.4792762
       Q2 0.2573177
