 QUESTION       FORCE
      Q40  1.25431510
      Q39  1.18648172
      Q16  1.16811333
      Q35  1.13521660
      Q38  1.12462830
      Q21  1.11815493
      Q18  1.11115975
      Q37  1.06841918
      Q17  1.05247533
      Q34  1.03623262
      Q13  1.02190197
      Q33  1.00374436
      Q42  0.99287520
      Q24  0.94963318
      Q27  0.94951693
      Q26  0.94232927
      Q31  0.90173286
      Q28  0.89610829
      Q22  0.87874345
      Q11  0.87097870
      Q32  0.83269792
      Q29  0.76291247
      Q30  0.76201845
       Q6  0.74463212
      Q14  0.72401691
      Q12  0.66242273
      Q10  0.64304443
       Q3  0.64238422
       Q9  0.60281958
       Q8  0.52961757
       Q5  0.33698585
       Q1  0.14276901
       Q2 -0.07993775
