 QUESTION     FORCE
      Q36 1.4773318
      Q39 1.4345530
      Q34 1.1822078
      Q21 1.1571357
      Q25 1.1151696
      Q37 1.0890150
      Q33 1.0838160
      Q35 1.0747015
      Q26 1.0711296
      Q16 1.0412003
      Q42 1.0351254
      Q24 1.0244911
      Q38 1.0219117
      Q27 1.0062311
      Q31 1.0011352
      Q18 0.9974991
      Q40 0.9814842
      Q13 0.9780079
      Q28 0.9545165
      Q17 0.9408200
      Q30 0.9325618
      Q20 0.9194705
      Q11 0.8864707
      Q32 0.8552172
      Q22 0.8298343
      Q29 0.7850558
      Q10 0.6534045
       Q8 0.6243275
       Q6 0.6040376
      Q14 0.5928596
      Q12 0.5859811
       Q3 0.5688062
      Q19 0.5304935
       Q9 0.5127179
       Q1 0.4948598
       Q5 0.4669255
       Q2 0.2584993
