 QUESTION     FORCE
      Q36 1.4279326
      Q39 1.3209951
      Q38 1.2199099
      Q34 1.2180278
      Q37 1.2094705
      Q42 1.0918574
      Q27 1.0638592
      Q26 1.0572162
      Q33 1.0566032
      Q35 1.0547618
      Q16 1.0442319
      Q30 1.0300925
      Q24 1.0276731
      Q31 1.0187680
      Q28 1.0115300
      Q25 0.9936954
      Q18 0.9749064
      Q40 0.9634016
      Q32 0.9594904
      Q20 0.9578206
      Q21 0.9516042
      Q17 0.9481820
      Q29 0.9379184
      Q13 0.9191773
      Q22 0.8734129
      Q11 0.8655595
      Q19 0.8285027
       Q1 0.7432209
       Q8 0.6815126
      Q14 0.6690211
      Q10 0.6272362
      Q12 0.5905438
       Q3 0.5572955
       Q6 0.5164619
       Q9 0.5027962
       Q2 0.3665317
       Q5 0.3472508
