 QUESTION     FORCE
      Q36 1.5153041
      Q21 1.2103889
      Q39 1.1888107
      Q19 1.1472842
      Q25 1.1389950
      Q13 1.1388787
      Q34 1.1187408
      Q38 1.1182478
      Q37 1.0838728
      Q31 1.0773214
      Q28 1.0599081
      Q40 1.0445311
      Q35 1.0287603
      Q30 1.0280425
      Q16 1.0144581
      Q24 1.0126711
      Q18 1.0107048
      Q33 1.0062930
      Q11 0.9966289
      Q32 0.9935899
      Q17 0.9883419
      Q26 0.9711275
      Q42 0.9215487
      Q22 0.9145590
      Q27 0.8986546
      Q20 0.8521711
      Q10 0.7977222
      Q29 0.6676944
      Q14 0.6440828
       Q6 0.6337993
       Q3 0.5968119
       Q8 0.5559678
       Q9 0.4790694
       Q1 0.4720623
      Q12 0.4655905
       Q5 0.4423937
       Q2 0.2070507
