 QUESTION     FORCE
      Q23 1.3354735
      Q15 1.2699635
       Q7 1.2246844
       Q4 1.1993569
      Q26 1.1942128
      Q39 1.1934075
      Q38 1.1577096
      Q42 1.1564940
      Q28 1.1497094
      Q35 1.1401745
      Q21 1.0870878
      Q24 1.0862520
      Q41 1.0817904
      Q36 1.0768260
      Q37 1.0688021
      Q33 1.0637487
      Q16 1.0637070
      Q34 1.0452077
      Q27 1.0364966
      Q31 1.0046920
      Q40 0.9819819
       Q8 0.9734977
      Q30 0.9654047
      Q17 0.9340913
      Q22 0.9047676
      Q18 0.8884466
      Q20 0.8753429
      Q32 0.8717669
      Q13 0.8645500
      Q25 0.8637186
       Q6 0.7814670
      Q10 0.7097257
      Q19 0.6770943
      Q29 0.6746559
      Q11 0.6541130
       Q3 0.6314942
       Q9 0.6281884
       Q1 0.5855567
      Q14 0.5187390
       Q5 0.4432226
      Q12 0.4412586
       Q2 0.3925722
