 QUESTION     FORCE
      Q15 1.6860285
      Q23 1.2798507
      Q33 1.1892686
      Q38 1.1441612
      Q36 1.1327080
       Q4 1.1283166
      Q39 1.1237854
      Q26 1.1203041
      Q34 1.1179360
      Q21 1.0907123
      Q42 1.0887220
      Q37 1.0689455
      Q16 1.0664963
      Q35 1.0552900
      Q28 1.0367302
      Q27 1.0344492
      Q22 1.0271337
      Q32 1.0238533
      Q40 1.0061154
      Q24 1.0055052
      Q13 0.9903226
      Q18 0.9820444
      Q31 0.9811542
      Q20 0.9452606
      Q30 0.9356593
       Q7 0.9284012
      Q17 0.9280216
      Q11 0.9096950
      Q41 0.8956241
      Q19 0.8420346
      Q10 0.8157351
      Q29 0.8056134
       Q8 0.7508250
      Q25 0.7219169
      Q14 0.6537729
       Q3 0.6395277
       Q6 0.6085911
       Q9 0.5794907
       Q5 0.5584892
      Q12 0.5226285
       Q1 0.4856938
       Q2 0.2093875
