 QUESTION     FORCE
      Q36 1.4603084
      Q39 1.3045518
      Q34 1.1954930
      Q37 1.1599228
      Q27 1.1517001
      Q33 1.1180207
      Q21 1.1172356
      Q35 1.0786163
      Q38 1.0621562
      Q17 1.0522719
      Q24 1.0514288
      Q26 1.0397788
      Q28 1.0031230
      Q18 0.9898351
      Q16 0.9883147
      Q42 0.9859769
      Q13 0.9769669
      Q32 0.9672147
      Q30 0.9541888
      Q31 0.9300072
      Q40 0.9259254
      Q11 0.9120180
      Q20 0.8984367
      Q22 0.8679585
      Q29 0.7585533
      Q19 0.7320734
      Q14 0.7000439
      Q10 0.6732829
       Q6 0.6551718
       Q8 0.6217666
       Q1 0.5921757
       Q3 0.5880915
      Q12 0.5474512
       Q9 0.5015417
       Q5 0.4879539
       Q2 0.3447085
